opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,Cycle
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,11/16/2016,3/31/2017,559,135.00
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,11/16/2016,3/11/2017,0,115.00
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,11/17/2016,3/21/2017,0,124.00
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,11/17/2016,3/5/2017,4667,108.00
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,11/17/2016,3/17/2017,903,120.00
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,11/17/2016,3/13/2017,1180,116.00
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,11/17/2016,3/5/2017,487,108.00
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,11/18/2016,3/4/2017,3180,106.00
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,11/19/2016,3/17/2017,0,118.00
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,11/19/2016,3/18/2017,3563,119.00
F5U1ACDD,Kami Bicknell,GTX Plus Basic,,Engaging,11/19/2016,12/31/2017,0,407.00
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,11/20/2016,3/23/2017,4704,123.00
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,11/20/2016,3/14/2017,5585,114.00
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,11/20/2016,3/9/2017,25897,109.00
ZZY4516R,Hayden Neloms,MG Advanced,,Engaging,11/20/2016,12/31/2017,0,406.00
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,11/20/2016,3/3/2017,1207,103.00
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,11/20/2016,3/8/2017,0,108.00
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,11/20/2016,3/4/2017,559,104.00
0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,11/20/2016,12/31/2017,0,406.00
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,11/20/2016,3/9/2017,1033,109.00
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,11/21/2016,3/21/2017,462,120.00
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,11/21/2016,3/1/2017,0,100.00
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,11/21/2016,3/14/2017,5539,113.00
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,11/21/2016,3/15/2017,3573,114.00
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,11/21/2016,3/1/2017,4926,100.00
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,11/21/2016,3/17/2017,0,116.00
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,11/22/2016,3/4/2017,62,102.00
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,11/22/2016,3/14/2017,4359,112.00
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,11/22/2016,3/31/2017,566,129.00
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,11/22/2016,3/3/2017,508,101.00
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,11/22/2016,3/20/2017,0,118.00
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,11/22/2016,3/11/2017,51,109.00
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,11/22/2016,3/5/2017,4899,103.00
M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,11/23/2016,12/31/2017,0,403.00
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,11/23/2016,3/3/2017,5790,100.00
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,11/23/2016,3/30/2017,0,127.00
GYB4W2AU,Elease Gluck,MG Advanced,,Engaging,11/23/2016,12/31/2017,0,403.00
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,11/23/2016,3/3/2017,4438,100.00
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,11/23/2016,3/17/2017,2972,114.00
VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,11/23/2016,12/31/2017,0,403.00
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,11/23/2016,3/1/2017,523,98.00
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,11/24/2016,3/25/2017,3647,121.00
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,11/24/2016,3/1/2017,4200,97.00
579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,11/24/2016,12/31/2017,0,402.00
SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,11/24/2016,12/31/2017,0,402.00
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,11/24/2016,3/28/2017,1059,124.00
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,11/24/2016,3/5/2017,0,101.00
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,11/24/2016,3/2/2017,57,98.00
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,11/24/2016,3/27/2017,3671,123.00
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,11/25/2016,3/1/2017,58,96.00
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,11/25/2016,3/6/2017,3956,101.00
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,11/25/2016,3/1/2017,5964,96.00
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,11/25/2016,3/6/2017,4570,101.00
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,11/25/2016,3/27/2017,49,122.00
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,11/25/2016,3/6/2017,65,101.00
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,11/26/2016,3/27/2017,0,121.00
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,11/26/2016,3/8/2017,4739,102.00
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,11/26/2016,3/21/2017,1080,115.00
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,11/26/2016,3/12/2017,57,106.00
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,11/27/2016,3/16/2017,469,109.00
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,11/27/2016,3/3/2017,532,96.00
PFFHM7HR,Markita Hansen,MG Advanced,Opentech,Engaging,11/27/2016,12/31/2017,0,399.00
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,11/27/2016,3/26/2017,538,119.00
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,11/27/2016,3/21/2017,4829,114.00
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,11/27/2016,3/11/2017,5370,104.00
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,11/27/2016,3/21/2017,6499,114.00
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,11/28/2016,3/6/2017,1161,98.00
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,11/28/2016,3/26/2017,576,118.00
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,11/28/2016,3/19/2017,979,111.00
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,11/28/2016,3/7/2017,43,99.00
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,11/29/2016,3/7/2017,57,98.00
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,11/29/2016,3/28/2017,0,119.00
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,11/29/2016,3/12/2017,948,103.00
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,11/29/2016,3/10/2017,3012,101.00
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,11/30/2016,3/15/2017,3665,105.00
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,11/30/2016,3/24/2017,564,114.00
3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,12/1/2016,3/6/2017,0,95.00
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,12/1/2016,3/22/2017,3463,111.00
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,12/1/2016,3/26/2017,513,115.00
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,12/1/2016,3/28/2017,590,117.00
QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,12/1/2016,3/30/2017,4511,119.00
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,12/1/2016,3/2/2017,0,91.00
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,12/1/2016,3/26/2017,546,115.00
PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,12/1/2016,3/5/2017,46,94.00
A0ANOYPF,Darcel Schlecht,GTXPro,Ron-tech,Won,12/2/2016,3/9/2017,4891,97.00
0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,12/2/2016,3/3/2017,1040,91.00
O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,12/2/2016,3/4/2017,1108,92.00
0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,12/2/2016,3/4/2017,59,92.00
22OFSXBT,Jonathan Berthelot,GTXPro,Statholdings,Won,12/2/2016,3/30/2017,5406,118.00
MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,12/2/2016,3/20/2017,515,108.00
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,12/2/2016,3/6/2017,583,94.00
6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,12/2/2016,3/14/2017,54,102.00
3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,12/2/2016,3/27/2017,60,115.00
CNM0H9FR,Zane Levy,GTX Basic,,Engaging,12/2/2016,12/31/2017,0,394.00
XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,12/3/2016,3/12/2017,0,99.00
TZCAQWL3,Darcel Schlecht,GTXPro,Funholding,Lost,12/3/2016,3/19/2017,0,106.00
BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,12/3/2016,3/23/2017,516,110.00
B8E0UUZR,Darcel Schlecht,GTXPro,Rangreen,Won,12/3/2016,3/22/2017,4829,109.00
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,12/3/2016,3/17/2017,0,104.00
MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,12/3/2016,3/2/2017,950,89.00
HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,12/3/2016,3/9/2017,0,96.00
DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,12/4/2016,3/20/2017,513,106.00
3W1K7X5F,Darcel Schlecht,GTXPro,Condax,Lost,12/4/2016,3/9/2017,0,95.00
45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,12/4/2016,3/12/2017,5522,98.00
9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,12/4/2016,3/9/2017,56,95.00
JLWKWQYC,James Ascencio,GTXPro,Doncon,Won,12/4/2016,3/8/2017,5673,94.00
7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,12/4/2016,3/10/2017,598,96.00
XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,12/4/2016,3/16/2017,5787,102.00
S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,12/4/2016,3/8/2017,1070,94.00
6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,12/5/2016,3/14/2017,3677,99.00
G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,12/5/2016,3/30/2017,5425,115.00
UAE5ZC7O,Daniell Hammack,GTX Plus Pro,,Engaging,12/5/2016,12/31/2017,0,391.00
6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,12/5/2016,3/23/2017,3415,108.00
JUCNIG4H,James Ascencio,GTX Basic,,Engaging,12/5/2016,12/31/2017,0,391.00
OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,12/5/2016,3/21/2017,891,106.00
4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,12/6/2016,3/12/2017,609,96.00
EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,12/6/2016,3/16/2017,54,100.00
82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,12/6/2016,3/9/2017,1049,93.00
14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,12/7/2016,3/7/2017,1152,90.00
DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,12/7/2016,3/20/2017,0,103.00
1YSOZLHF,Daniell Hammack,GTXPro,Umbrella Corporation,Won,12/7/2016,3/28/2017,4799,111.00
E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,12/7/2016,3/12/2017,51,95.00
787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,12/7/2016,3/3/2017,3426,86.00
0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,12/7/2016,3/11/2017,51,94.00
FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,12/7/2016,3/20/2017,564,103.00
TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,12/8/2016,3/1/2017,5882,83.00
ICMXZOVL,Daniell Hammack,GTXPro,Stanredtax,Engaging,12/8/2016,12/31/2017,0,388.00
UQ14O415,Donn Cantrell,GTXPro,Plussunin,Won,12/8/2016,3/20/2017,5059,102.00
IBEUTCSW,James Ascencio,MG Advanced,,Engaging,12/8/2016,12/31/2017,0,388.00
O3KC8QI8,Kami Bicknell,GTX Plus Basic,,Engaging,12/8/2016,12/31/2017,0,388.00
BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,12/8/2016,3/11/2017,3388,93.00
WALNFJ70,Kary Hendrixson,GTX Plus Pro,,Engaging,12/8/2016,12/31/2017,0,388.00
DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,12/8/2016,3/10/2017,5410,92.00
A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,12/8/2016,3/28/2017,978,110.00
E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,12/8/2016,3/26/2017,54,108.00
SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,12/9/2016,3/22/2017,0,103.00
V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,12/9/2016,3/14/2017,549,95.00
GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,12/9/2016,3/14/2017,1034,95.00
9R8JWY3J,Donn Cantrell,GTXPro,Vehement Capital Partners,Won,12/9/2016,3/3/2017,4998,84.00
0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,12/9/2016,3/28/2017,3421,109.00
HNHOPL7M,Kary Hendrixson,GTX Plus Pro,Doncon,Won,12/9/2016,3/4/2017,5425,85.00
Y0NYI17R,Vicki Laflamme,MG Special,Dalttechnology,Won,12/9/2016,3/15/2017,55,96.00
R4F4RGAL,Violet Mclelland,MG Advanced,Silis,Won,12/9/2016,3/14/2017,3558,95.00
MNVMY83P,Cassey Cress,GTXPro,Plussunin,Engaging,12/10/2016,12/31/2017,0,386.00
0ZHLQFGU,Kami Bicknell,GTXPro,Blackzim,Won,12/10/2016,3/22/2017,4839,102.00
40DPY158,Markita Hansen,MG Special,Hottechi,Won,12/10/2016,3/25/2017,47,105.00
DP9E525R,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,12/10/2016,3/24/2017,1007,104.00
DBDUMQQK,Niesha Huffines,MG Special,Inity,Won,12/10/2016,3/24/2017,48,104.00
CNBN12RL,Versie Hillebrand,MG Special,Treequote,Won,12/10/2016,3/7/2017,49,87.00
OXL0YWEE,Violet Mclelland,GTX Basic,Mathtouch,Won,12/10/2016,3/18/2017,504,98.00
ZOBJHMAF,Cassey Cress,MG Advanced,,Engaging,12/11/2016,12/31/2017,0,385.00
KD6MB4AP,Elease Gluck,MG Special,,Engaging,12/11/2016,12/31/2017,0,385.00
5CSSZJF4,Jonathan Berthelot,GTX Basic,Finhigh,Won,12/11/2016,3/21/2017,543,100.00
0XG8TOJF,Kary Hendrixson,GTX Plus Pro,Fasehatice,Lost,12/11/2016,3/18/2017,0,97.00
IIS0O91J,Kary Hendrixson,GTXPro,Fasehatice,Won,12/11/2016,3/28/2017,5149,107.00
2LP5SUR5,Lajuana Vencill,GTX Basic,Treequote,Lost,12/11/2016,3/9/2017,0,88.00
PYZZ3IS6,Markita Hansen,GTX Plus Basic,Blackzim,Won,12/11/2016,3/11/2017,1043,90.00
5I4K5TQE,Cassey Cress,GTX Plus Pro,Sumace,Lost,12/12/2016,3/9/2017,0,87.00
RV3LPOYP,James Ascencio,GTX Basic,Condax,Won,12/12/2016,3/29/2017,437,107.00
A194RP0I,Rosalina Dieter,MG Advanced,,Engaging,12/12/2016,12/31/2017,0,384.00
1HVNTEPV,Rosie Papadopoulos,GTXPro,Kinnamplus,Won,12/12/2016,3/11/2017,4465,89.00
LC85AQ1I,Vicki Laflamme,GTX Basic,Konex,Won,12/12/2016,3/18/2017,443,96.00
TBV972NP,Violet Mclelland,MG Special,Sumace,Lost,12/12/2016,3/23/2017,0,101.00
EJMX0EIJ,Darcel Schlecht,GTX Plus Pro,Betatech,Won,12/13/2016,3/20/2017,4278,97.00
VR9NYBOV,Garret Kinder,MG Special,Kinnamplus,Won,12/13/2016,3/6/2017,41,83.00
3U25FK08,Jonathan Berthelot,GTX Basic,Isdom,Won,12/13/2016,3/28/2017,519,105.00
KV2OFRJT,Kami Bicknell,GTXPro,,Engaging,12/13/2016,12/31/2017,0,383.00
CRLK4Z1P,Maureen Marcano,GTX Basic,Kan-code,Won,12/13/2016,3/4/2017,524,81.00
OGENAT0L,Zane Levy,GTX Basic,Singletechno,Won,12/13/2016,3/27/2017,552,104.00
F57JWIDF,Gladys Colclough,GTX Plus Basic,Konmatfix,Won,12/14/2016,3/2/2017,970,78.00
ERFRHR3Z,Hayden Neloms,MG Advanced,,Engaging,12/14/2016,12/31/2017,0,382.00
J53D8EOL,Kary Hendrixson,GTX Plus Basic,Hottechi,Engaging,12/14/2016,12/31/2017,0,382.00
LF8JZ3Q5,Kary Hendrixson,GTX Plus Basic,Hatfan,Won,12/14/2016,3/13/2017,1046,89.00
MRGBSMQ5,Kary Hendrixson,GTX Plus Basic,Sunnamplex,Won,12/14/2016,3/14/2017,988,90.00
CBAV8ZJL,Lajuana Vencill,GTX Basic,Codehow,Won,12/14/2016,3/22/2017,547,98.00
J32XDDAW,Markita Hansen,GTX Basic,,Engaging,12/14/2016,12/31/2017,0,382.00
NN4DWBVN,Maureen Marcano,GTXPro,Singletechno,Lost,12/14/2016,3/4/2017,0,80.00
6JXHEZYK,Versie Hillebrand,MG Special,Isdom,Won,12/14/2016,3/31/2017,54,107.00
WDHNR2EI,Violet Mclelland,MG Special,Silis,Won,12/14/2016,3/20/2017,57,96.00
4K750D6F,Violet Mclelland,MG Special,Yearin,Won,12/14/2016,3/18/2017,55,94.00
94GI0ZJ7,Anna Snelling,GTX Plus Pro,Stanredtax,Won,12/15/2016,3/15/2017,5765,90.00
TODG6DEK,Daniell Hammack,GTX Basic,Bioplex,Won,12/15/2016,3/16/2017,639,91.00
G0ECB8FS,Kary Hendrixson,GTXPro,Labdrill,Won,12/15/2016,3/15/2017,5100,90.00
1ZDDZD8B,Markita Hansen,MG Special,,Engaging,12/15/2016,12/31/2017,0,381.00
96MZYUY0,Vicki Laflamme,GTXPro,Fasehatice,Won,12/15/2016,3/7/2017,4906,82.00
EZVKSQ9C,Boris Faz,GTX Plus Pro,Genco Pura Olive Oil Company,Engaging,12/16/2016,12/31/2017,0,380.00
RJYG004O,Daniell Hammack,GTX Basic,Domzoom,Engaging,12/16/2016,12/31/2017,0,380.00
JZOKHHWN,Donn Cantrell,GTX Plus Basic,Opentech,Won,12/16/2016,3/7/2017,1037,81.00
EH6I67I0,James Ascencio,GTX Basic,Plexzap,Won,12/16/2016,3/15/2017,537,89.00
JUUXF02Z,Kary Hendrixson,GTXPro,Hatfan,Won,12/16/2016,3/9/2017,4694,83.00
OT87JDWO,Lajuana Vencill,GTX Basic,Konmatfix,Won,12/16/2016,3/24/2017,560,98.00
YHKT6YJ7,Moses Frase,GTX Basic,dambase,Won,12/16/2016,3/13/2017,589,87.00
H78I3TAY,Reed Clapper,GTX Basic,Mathtouch,Won,12/16/2016,3/14/2017,493,88.00
1ROC43JK,Versie Hillebrand,MG Special,Betatech,Won,12/16/2016,3/8/2017,50,82.00
LPZLQL48,Vicki Laflamme,GTX Basic,Y-corporation,Won,12/16/2016,3/28/2017,492,102.00
PYOFK7ZD,Cassey Cress,GTX Basic,,Engaging,12/17/2016,12/31/2017,0,379.00
DWUXMAGZ,Corliss Cosme,GTX Plus Pro,,Engaging,12/17/2016,12/31/2017,0,379.00
3KR50X38,Corliss Cosme,GTX Plus Basic,Konex,Won,12/17/2016,3/13/2017,1255,86.00
Q3WLHRE9,Darcel Schlecht,GTX Basic,Statholdings,Won,12/17/2016,3/4/2017,463,77.00
IX7UEOAP,Donn Cantrell,GTX Plus Basic,Initech,Lost,12/17/2016,3/27/2017,0,100.00
NQU62K1H,Donn Cantrell,GTX Basic,Zencorporation,Won,12/17/2016,3/12/2017,605,85.00
NAQKOU0T,Hayden Neloms,GTX Plus Basic,Fasehatice,Won,12/17/2016,3/20/2017,1315,93.00
I3V3GUAI,Lajuana Vencill,GTX Basic,Zumgoity,Won,12/17/2016,3/2/2017,559,75.00
PN4VJDXY,Moses Frase,GTX Basic,Rundofase,Won,12/17/2016,3/28/2017,557,101.00
K9D4DQ3R,Rosie Papadopoulos,MG Special,Vehement Capital Partners,Won,12/17/2016,3/2/2017,48,75.00
9X6V79KE,Versie Hillebrand,GTX Plus Pro,Isdom,Won,12/17/2016,3/25/2017,6282,98.00
6SN2RQJX,Vicki Laflamme,MG Special,,Engaging,12/17/2016,12/31/2017,0,379.00
W1KLFNE4,Anna Snelling,MG Advanced,Isdom,Won,12/18/2016,3/2/2017,3246,74.00
NKPH3EFG,Cassey Cress,MG Advanced,,Engaging,12/18/2016,12/31/2017,0,378.00
